order_date,total_orders,total_items,gross_revenue,total_discount,total_tax,net_revenue,average_order_value,unique_customers
2024-01-01,41,305,10146456.66,798098.03,0.00,9348358.63,228008.75,41
2024-01-02,58,472,18273870.73,1445890.19,0.00,16827980.54,290137.6,58
2024-01-03,46,317,12557221.94,1001858.39,0.00,11555363.55,251203.56,46
2024-01-04,53,415,15678928.77,1206086.80,0.00,14472841.97,273072.49,53
2024-01-05,53,386,14277736.70,1221683.02,0.00,13056053.68,246340.64,53
2024-01-06,61,497,19087555.12,1566750.36,0.00,17520804.76,287226.31,61
2024-01-07,51,384,14514487.54,1060026.75,0.00,13454460.79,263812.96,51
2024-01-08,67,456,17088889.41,1522926.69,0.00,15565962.72,232327.8,67
2024-01-09,42,353,14209772.09,1048924.16,0.00,13160847.93,313353.52,42
2024-01-10,53,452,16633220.11,1162454.84,0.00,15470765.27,291901.23,52
2024-01-11,57,403,15804990.87,1352236.02,0.00,14452754.85,253557.1,56
2024-01-12,55,447,17413497.16,1309808.90,0.00,16103688.26,292794.33,55
2024-01-13,58,399,16911250.78,1440996.33,0.00,15470254.45,266728.53,57
2024-01-14,51,394,13708433.64,1240368.48,0.00,12468065.16,244471.87,51
2024-01-15,75,562,21634014.87,1646140.60,0.00,19987874.27,266504.99,73
2024-01-16,53,431,16956898.04,1299424.02,0.00,15657474.02,295424.04,53
2024-01-17,58,402,15684357.37,965676.93,0.00,14718680.44,253770.35,58
2024-01-18,75,560,22841566.53,1947954.22,0.00,20893612.31,278581.5,74
2024-01-19,45,303,10571302.58,1071594.12,0.00,9499708.46,211104.63,45
2024-01-20,59,473,18940343.87,1571599.06,0.00,17368744.81,294385.51,59
2024-01-21,59,469,17961472.00,1455291.04,0.00,16506180.96,279765.78,58
2024-01-22,52,363,14560093.04,1018022.36,0.00,13542070.68,260424.44,50
2024-01-23,47,363,13879678.16,886302.05,0.00,12993376.11,276454.81,47
2024-01-24,54,425,17667031.91,1429718.70,0.00,16237313.21,300690.99,54
2024-01-25,39,288,11294590.37,813571.86,0.00,10481018.51,268744.06,39
2024-01-26,53,385,16363620.50,1415834.06,0.00,14947786.44,282033.71,53
2024-01-27,52,391,14827338.86,1139583.40,0.00,13687755.46,263226.07,52
2024-01-28,36,251,9727966.18,671727.93,0.00,9056238.25,251562.17,36
2024-01-29,56,404,15030623.86,1202641.68,0.00,13827982.18,246928.25,54
2024-01-30,48,383,14758631.26,1238775.03,0.00,13519856.23,281663.67,48
2024-01-31,53,407,14974562.90,1032410.58,0.00,13942152.32,263059.48,52
2024-02-01,40,303,11478342.47,867713.51,0.00,10610628.96,265265.72,40
2024-02-02,53,409,16042354.78,1182883.98,0.00,14859470.80,280367.37,53
2024-02-03,55,422,17484985.42,1250108.97,0.00,16234876.45,295179.57,55
2024-02-04,46,310,11319682.58,971504.84,0.00,10348177.74,224960.39,46
2024-02-05,70,481,17431976.54,1353390.83,0.00,16078585.71,229694.08,69
2024-02-06,67,572,23219483.28,2011444.53,0.00,21208038.75,316537.89,67
2024-02-07,55,402,16578331.24,1107176.66,0.00,15471154.58,281293.72,54
2024-02-08,60,419,16600439.92,1232510.78,0.00,15367929.14,256132.15,60
2024-02-09,63,503,20510350.26,1816248.98,0.00,18694101.28,296731.77,61
2024-02-10,55,423,16122598.51,1191424.71,0.00,14931173.80,271475.89,55
2024-02-11,55,430,16164259.09,1137926.83,0.00,15026332.26,273206.04,55
2024-02-12,64,484,17534125.80,1389715.47,0.00,16144410.33,252256.41,64
2024-02-13,53,377,13817989.01,993886.86,0.00,12824102.15,241964.19,52
2024-02-14,50,332,11939872.37,933449.50,0.00,11006422.87,220128.46,49
2024-02-15,50,334,14105117.88,1208033.47,0.00,12897084.41,257941.69,50
2024-02-16,62,469,18316162.40,1395078.19,0.00,16921084.21,272920.71,61
2024-02-17,58,444,17937349.14,1469980.86,0.00,16467368.28,283920.14,58
2024-02-18,40,272,9683492.47,622283.45,0.00,9061209.02,226530.23,40
2024-02-19,47,378,14744060.36,1332658.23,0.00,13411402.13,285348.98,47
2024-02-20,53,386,14806302.77,1263232.92,0.00,13543069.85,255529.62,53
2024-02-21,61,498,18037474.00,1518464.73,0.00,16519009.27,270803.43,61
2024-02-22,52,365,13199157.26,1217766.58,0.00,11981390.68,230411.36,52
2024-02-23,42,295,12309653.11,1244632.77,0.00,11065020.34,263452.87,42
2024-02-24,58,492,18580582.47,1334431.94,0.00,17246150.53,297347.42,58
2024-02-25,54,396,15457225.62,1435039.23,0.00,14022186.39,259670.12,54
2024-02-26,50,384,15871017.08,1092140.23,0.00,14778876.85,295577.54,50
2024-02-27,62,425,15527065.77,1262940.93,0.00,14264124.84,230066.53,62
2024-02-28,53,382,14867064.80,1140722.06,0.00,13726342.74,258987.6,53
2024-02-29,41,284,10697599.65,745283.29,0.00,9952316.36,242739.42,41
2024-03-01,50,337,13333648.06,878169.85,0.00,12455478.21,249109.56,50
2024-03-02,56,417,15364764.86,1239901.36,0.00,14124863.50,252229.71,56
2024-03-03,53,434,14591666.36,1122223.51,0.00,13469442.85,254140.43,52
2024-03-04,44,339,12089997.76,1085923.94,0.00,11004073.82,250092.59,44
2024-03-05,43,371,14461395.19,954856.04,0.00,13506539.15,314105.56,43
2024-03-06,65,473,17444087.64,1271482.21,0.00,16172605.43,248809.31,64
2024-03-07,51,372,14767432.35,1149875.06,0.00,13617557.29,267010.93,51
2024-03-08,41,300,10458684.90,795925.35,0.00,9662759.55,235677.06,41
2024-03-09,51,344,12951774.89,1055756.70,0.00,11896018.19,233255.26,51
2024-03-10,49,320,13553117.33,1088595.33,0.00,12464522.00,254378.0,49
2024-03-11,57,387,15835215.17,1221199.86,0.00,14614015.31,256386.23,57
2024-03-12,51,367,14903966.04,1282690.67,0.00,13621275.37,267083.83,51
2024-03-13,47,375,14591463.88,1104368.15,0.00,13487095.73,286959.48,47
2024-03-14,80,624,25141587.41,2107607.59,0.00,23033979.82,287924.75,78
2024-03-15,57,472,16480101.50,1211310.04,0.00,15268791.46,267873.53,57
