month,category,customer_segment,order_status,net_revenue,discount,items,orders
2024-01-01,Beauty,Gold,CANCELLED,949203.62,74816.2,16,4
2024-01-01,Beauty,Gold,DELIVERED,5443525.44,396056.58,141,51
2024-01-01,Beauty,Gold,PENDING,455673.76,14088.789999999999,11,3
2024-01-01,Beauty,Gold,RETURNED,620852.11,28087.31,12,4
2024-01-01,Beauty,Gold,SHIPPED,2083147.72,128717.74,55,12
2024-01-01,Beauty,Platinum,CANCELLED,183035.21,2679.06,3,2
2024-01-01,Beauty,Platinum,DELIVERED,3042041.75,280730.61,86,28
2024-01-01,Beauty,Platinum,PENDING,112559.04,0.0,4,1
2024-01-01,Beauty,Platinum,RETURNED,64411.22,7152.4800000000005,5,2
2024-01-01,Beauty,Platinum,SHIPPED,299482.94,11587.980000000001,11,4
2024-01-01,Beauty,Regular,CANCELLED,1796367.32,133839.59,52,18
2024-01-01,Beauty,Regular,DELIVERED,24610142.92,2163840.29,641,221
2024-01-01,Beauty,Regular,PENDING,3093473.92,232667.08000000002,93,30
2024-01-01,Beauty,Regular,RETURNED,1787941.82,182690.38,56,21
2024-01-01,Beauty,Regular,SHIPPED,3479679.08,295525.04,87,27
2024-01-01,Beauty,Silver,CANCELLED,650056.96,75177.87,20,8
2024-01-01,Beauty,Silver,DELIVERED,9848757.08,847217.1,260,89
2024-01-01,Beauty,Silver,PENDING,1246035.73,58618.75,31,7
2024-01-01,Beauty,Silver,RETURNED,926183.46,59815.44,26,8
2024-01-01,Beauty,Silver,SHIPPED,990036.48,97191.05,40,12
2024-01-01,Books,Gold,CANCELLED,1068139.94,126511.62,27,9
2024-01-01,Books,Gold,DELIVERED,3426212.18,262856.48,102,38
2024-01-01,Books,Gold,PENDING,1006379.4199999999,73491.95999999999,20,5
2024-01-01,Books,Gold,RETURNED,761266.6699999999,55489.79,16,5
2024-01-01,Books,Gold,SHIPPED,715001.61,39811.9,19,6
2024-01-01,Books,Platinum,DELIVERED,2888937.5300000003,221358.78,71,24
2024-01-01,Books,Platinum,PENDING,35813.64,1648.71,5,2
2024-01-01,Books,Platinum,RETURNED,98351.21,10927.91,4,1
2024-01-01,Books,Platinum,SHIPPED,44621.28,4957.92,3,1
2024-01-01,Books,Regular,CANCELLED,2459990.05,223955.36000000002,74,27
2024-01-01,Books,Regular,DELIVERED,24649744.63,2146707.0,652,227
2024-01-01,Books,Regular,PENDING,3797326.08,337593.12,103,34
2024-01-01,Books,Regular,RETURNED,2705570.37,228646.37,69,20
2024-01-01,Books,Regular,SHIPPED,1470829.66,171371.99,49,19
2024-01-01,Books,Silver,CANCELLED,1183237.55,48365.090000000004,25,7
2024-01-01,Books,Silver,DELIVERED,9706426.94,945039.72,255,83
2024-01-01,Books,Silver,PENDING,715646.3200000001,65670.48,24,8
2024-01-01,Books,Silver,RETURNED,529086.79,46342.72,15,5
2024-01-01,Books,Silver,SHIPPED,1145155.86,73867.28,34,11
2024-01-01,Electronics,Gold,CANCELLED,316395.69,24894.43,8,2
2024-01-01,Electronics,Gold,DELIVERED,4474552.67,367060.45,120,46
2024-01-01,Electronics,Gold,PENDING,92671.05,13166.66,3,2
2024-01-01,Electronics,Gold,RETURNED,585391.6,87746.02,18,5
2024-01-01,Electronics,Gold,SHIPPED,1266673.04,35730.82,34,10
2024-01-01,Electronics,Platinum,CANCELLED,46843.53,0.0,3,1
2024-01-01,Electronics,Platinum,DELIVERED,2671558.39,161986.55,63,22
2024-01-01,Electronics,Platinum,PENDING,196059.02,28006.24,4,2
2024-01-01,Electronics,Platinum,RETURNED,93843.27,0.0,3,1
2024-01-01,Electronics,Platinum,SHIPPED,184466.5,24473.98,6,2
2024-01-01,Electronics,Regular,CANCELLED,2378726.77,192887.0,81,30
2024-01-01,Electronics,Regular,DELIVERED,18638430.7,1585290.41,560,195
2024-01-01,Electronics,Regular,PENDING,2827468.4699999997,260828.99,69,25
2024-01-01,Electronics,Regular,RETURNED,2408399.42,207310.11000000002,63,22
2024-01-01,Electronics,Regular,SHIPPED,2361233.3,259265.88,64,22
2024-01-01,Electronics,Silver,CANCELLED,488829.0,28100.829999999998,14,4
2024-01-01,Electronics,Silver,DELIVERED,7126805.51,641535.24,192,69
2024-01-01,Electronics,Silver,PENDING,709217.79,22326.43,16,4
2024-01-01,Electronics,Silver,RETURNED,632229.28,51730.9,17,5
