payment_date,payment_method,payment_status,payment_count,payment_amount,refund_amount,net_payment_amount
2024-01-01,Credit Card,PENDING,1,53534.18,0.00,53534.18
2024-01-01,Credit Card,REFUNDED,1,380177.47,380177.47,0.00
2024-01-01,Credit Card,SUCCESS,4,976504.56,0.00,976504.56
2024-01-01,Debit Card,FAILED,3,326256.87,0.00,326256.87
2024-01-01,Debit Card,REFUNDED,4,1117789.64,1117789.64,0.00
2024-01-01,Debit Card,SUCCESS,4,321159.89,0.00,321159.89
2024-01-01,Net Banking,FAILED,2,182491.00,0.00,182491.00
2024-01-01,Net Banking,PENDING,1,462995.19,0.00,462995.19
2024-01-01,Net Banking,REFUNDED,1,156166.47,156166.47,0.00
2024-01-01,Net Banking,SUCCESS,6,1535247.55,0.00,1535247.55
2024-01-01,Upi,FAILED,1,290386.16,0.00,290386.16
2024-01-01,Upi,SUCCESS,6,1623654.23,0.00,1623654.23
2024-01-01,Wallet,PENDING,1,149549.64,0.00,149549.64
2024-01-01,Wallet,REFUNDED,3,633529.44,633529.44,0.00
2024-01-01,Wallet,SUCCESS,2,552148.46,0.00,552148.46
2024-01-02,Credit Card,FAILED,2,143755.74,0.00,143755.74
2024-01-02,Credit Card,REFUNDED,2,219770.01,219770.01,0.00
2024-01-02,Credit Card,SUCCESS,10,3158314.87,0.00,3158314.87
2024-01-02,Debit Card,REFUNDED,1,50630.44,50630.44,0.00
2024-01-02,Debit Card,SUCCESS,12,3906542.92,0.00,3906542.92
2024-01-02,Net Banking,REFUNDED,1,171370.68,171370.68,0.00
2024-01-02,Net Banking,SUCCESS,7,2490872.97,0.00,2490872.97
2024-01-02,Upi,FAILED,1,515578.81,0.00,515578.81
2024-01-02,Upi,PENDING,1,151808.07,0.00,151808.07
2024-01-02,Upi,REFUNDED,2,877975.62,877975.62,0.00
2024-01-02,Upi,SUCCESS,8,2028655.08,0.00,2028655.08
2024-01-02,Wallet,FAILED,1,372375.63,0.00,372375.63
2024-01-02,Wallet,REFUNDED,3,1381057.17,1381057.17,0.00
2024-01-02,Wallet,SUCCESS,6,1470994.48,0.00,1470994.48
2024-01-03,Credit Card,FAILED,2,102421.85,0.00,102421.85
2024-01-03,Credit Card,REFUNDED,2,521011.13,521011.13,0.00
2024-01-03,Credit Card,SUCCESS,6,1699373.92,0.00,1699373.92
2024-01-03,Debit Card,FAILED,3,446145.31,0.00,446145.31
2024-01-03,Debit Card,SUCCESS,6,1666492.54,0.00,1666492.54
2024-01-03,Net Banking,REFUNDED,1,26736.51,26736.51,0.00
2024-01-03,Net Banking,SUCCESS,6,2208199.41,0.00,2208199.41
2024-01-03,Upi,FAILED,2,462378.13,0.00,462378.13
2024-01-03,Upi,PENDING,1,371408.02,0.00,371408.02
2024-01-03,Upi,REFUNDED,2,666019.71,666019.71,0.00
2024-01-03,Upi,SUCCESS,8,1249037.13,0.00,1249037.13
2024-01-03,Wallet,REFUNDED,1,424141.29,424141.29,0.00
2024-01-03,Wallet,SUCCESS,6,1412877.90,0.00,1412877.90
2024-01-04,Credit Card,FAILED,1,293885.68,0.00,293885.68
2024-01-04,Credit Card,REFUNDED,1,181101.76,181101.76,0.00
2024-01-04,Credit Card,SUCCESS,8,2228690.92,0.00,2228690.92
2024-01-04,Debit Card,FAILED,3,829494.88,0.00,829494.88
2024-01-04,Debit Card,PENDING,3,1011628.60,0.00,1011628.60
2024-01-04,Debit Card,REFUNDED,3,779352.63,779352.63,0.00
2024-01-04,Debit Card,SUCCESS,4,1034280.41,0.00,1034280.41
2024-01-04,Net Banking,PENDING,1,266003.90,0.00,266003.90
2024-01-04,Net Banking,REFUNDED,2,334489.36,334489.36,0.00
2024-01-04,Net Banking,SUCCESS,5,1128576.41,0.00,1128576.41
2024-01-04,Upi,FAILED,1,450480.95,0.00,450480.95
2024-01-04,Upi,REFUNDED,3,1012944.69,1012944.69,0.00
2024-01-04,Upi,SUCCESS,11,3296517.08,0.00,3296517.08
2024-01-04,Wallet,FAILED,1,206616.01,0.00,206616.01
2024-01-04,Wallet,REFUNDED,2,693172.95,693172.95,0.00
2024-01-04,Wallet,SUCCESS,4,648865.29,0.00,648865.29
2024-01-05,Credit Card,FAILED,1,164085.15,0.00,164085.15
2024-01-05,Credit Card,REFUNDED,3,1151874.25,1151874.25,0.00
2024-01-05,Credit Card,SUCCESS,14,2795519.64,0.00,2795519.64
2024-01-05,Debit Card,FAILED,1,129864.10,0.00,129864.10
2024-01-05,Debit Card,SUCCESS,8,1622914.55,0.00,1622914.55
2024-01-05,Net Banking,FAILED,1,324388.30,0.00,324388.30
2024-01-05,Net Banking,PENDING,1,182652.24,0.00,182652.24
2024-01-05,Net Banking,REFUNDED,1,482165.36,482165.36,0.00
2024-01-05,Net Banking,SUCCESS,8,2008870.47,0.00,2008870.47
2024-01-05,Upi,REFUNDED,1,128159.52,128159.52,0.00
2024-01-05,Upi,SUCCESS,4,1271146.42,0.00,1271146.42
2024-01-05,Wallet,FAILED,1,489225.42,0.00,489225.42
2024-01-05,Wallet,PENDING,1,386738.10,0.00,386738.10
2024-01-05,Wallet,REFUNDED,3,1057487.65,1057487.65,0.00
2024-01-05,Wallet,SUCCESS,3,823427.97,0.00,823427.97
2024-01-06,Credit Card,FAILED,1,450242.70,0.00,450242.70
2024-01-06,Credit Card,REFUNDED,1,309681.06,309681.06,0.00
2024-01-06,Credit Card,SUCCESS,10,3029597.53,0.00,3029597.53
2024-01-06,Debit Card,REFUNDED,1,139267.95,139267.95,0.00
2024-01-06,Debit Card,SUCCESS,9,2193533.98,0.00,2193533.98
2024-01-06,Net Banking,FAILED,2,846786.96,0.00,846786.96
2024-01-06,Net Banking,SUCCESS,12,3817699.55,0.00,3817699.55
2024-01-06,Upi,FAILED,4,848555.48,0.00,848555.48
2024-01-06,Upi,REFUNDED,4,1114834.81,1114834.81,0.00
2024-01-06,Upi,SUCCESS,6,1544941.49,0.00,1544941.49
2024-01-06,Wallet,PENDING,1,192785.31,0.00,192785.31
2024-01-06,Wallet,SUCCESS,12,3402161.41,0.00,3402161.41
2024-01-07,Credit Card,SUCCESS,7,1501720.42,0.00,1501720.42
2024-01-07,Debit Card,SUCCESS,12,2903597.19,0.00,2903597.19
2024-01-07,Net Banking,FAILED,1,176192.45,0.00,176192.45
2024-01-07,Net Banking,REFUNDED,2,432787.94,432787.94,0.00
2024-01-07,Net Banking,SUCCESS,5,1727281.04,0.00,1727281.04
2024-01-07,Upi,FAILED,3,583697.53,0.00,583697.53
2024-01-07,Upi,SUCCESS,14,4393068.91,0.00,4393068.91
2024-01-07,Wallet,REFUNDED,1,521694.95,521694.95,0.00
2024-01-07,Wallet,SUCCESS,6,1166304.05,0.00,1166304.05
2024-01-08,Credit Card,FAILED,1,527179.07,0.00,527179.07
2024-01-08,Credit Card,PENDING,1,19626.38,0.00,19626.38
2024-01-08,Credit Card,SUCCESS,10,2034272.06,0.00,2034272.06
2024-01-08,Debit Card,PENDING,1,263028.55,0.00,263028.55
2024-01-08,Debit Card,REFUNDED,4,1190802.09,1190802.09,0.00
2024-01-08,Debit Card,SUCCESS,6,1565300.28,0.00,1565300.28
2024-01-08,Net Banking,FAILED,1,114509.06,0.00,114509.06
2024-01-08,Net Banking,REFUNDED,1,444352.62,444352.62,0.00
2024-01-08,Net Banking,SUCCESS,15,3449182.84,0.00,3449182.84
2024-01-08,Upi,FAILED,1,55360.45,0.00,55360.45
2024-01-08,Upi,REFUNDED,1,108902.95,108902.95,0.00
2024-01-08,Upi,SUCCESS,8,2380570.95,0.00,2380570.95
2024-01-08,Wallet,FAILED,1,214364.95,0.00,214364.95
2024-01-08,Wallet,REFUNDED,3,578115.02,578115.02,0.00
2024-01-08,Wallet,SUCCESS,12,2680088.88,0.00,2680088.88
2024-01-09,Credit Card,FAILED,1,137130.37,0.00,137130.37
2024-01-09,Credit Card,REFUNDED,3,921184.74,921184.74,0.00
2024-01-09,Credit Card,SUCCESS,5,1094760.43,0.00,1094760.43
2024-01-09,Debit Card,FAILED,2,624454.52,0.00,624454.52
2024-01-09,Debit Card,REFUNDED,1,599345.50,599345.50,0.00
2024-01-09,Debit Card,SUCCESS,9,2671837.95,0.00,2671837.95
2024-01-09,Net Banking,FAILED,3,636521.24,0.00,636521.24
2024-01-09,Net Banking,REFUNDED,1,428506.28,428506.28,0.00
2024-01-09,Net Banking,SUCCESS,6,2398135.13,0.00,2398135.13
2024-01-09,Upi,FAILED,1,31345.02,0.00,31345.02
2024-01-09,Upi,SUCCESS,6,2389139.36,0.00,2389139.36
2024-01-09,Wallet,FAILED,1,181705.55,0.00,181705.55
2024-01-09,Wallet,REFUNDED,2,730009.36,730009.36,0.00
2024-01-09,Wallet,SUCCESS,3,803802.44,0.00,803802.44
2024-01-10,Credit Card,REFUNDED,3,979278.59,979278.59,0.00
2024-01-10,Credit Card,SUCCESS,7,1985397.06,0.00,1985397.06
2024-01-10,Debit Card,PENDING,1,327647.73,0.00,327647.73
2024-01-10,Debit Card,SUCCESS,11,3595017.86,0.00,3595017.86
2024-01-10,Net Banking,FAILED,2,414005.72,0.00,414005.72
2024-01-10,Net Banking,REFUNDED,1,761883.90,761883.90,0.00
