product_id,product_name,category,total_quantity_sold,total_orders,gross_revenue,net_revenue,average_selling_price
PROD00508,L'oreal Beauty Item 508,Beauty,452,175,33261988.44,30859324.97,68272.84
PROD00992,Nivea Beauty Item 992,Beauty,451,167,33268064.61,30741609.61,68163.21
PROD00570,Yonex Sports Item 570,Sports,446,181,33440196.92,30714745.99,68867.14
PROD00283,Harpercollins Books Item 283,Books,459,187,32550994.80,30189452.04,65772.23
PROD00661,Mamaearth Beauty Item 661,Beauty,430,170,31399077.30,29635617.43,68920.04
PROD00295,Noise Electronics Item 295,Electronics,456,185,31726364.16,29343408.06,64349.58
PROD00257,Pearson Books Item 257,Books,445,169,31774980.25,29254403.02,65740.23
PROD00321,Harpercollins Books Item 321,Books,426,163,31288822.44,29122108.22,68361.76
PROD00755,Maybelline Beauty Item 755,Beauty,425,164,31463897.50,28887559.39,67970.73
PROD00187,Levi's Fashion Item 187,Fashion,463,181,30989150.23,28763687.63,62124.6
PROD00346,Lakme Beauty Item 346,Beauty,419,169,30493709.65,28488693.57,67992.11
PROD00764,Adidas Fashion Item 764,Fashion,440,178,29777466.40,27452793.61,62392.71
PROD00834,L'oreal Beauty Item 834,Beauty,401,159,29581553.46,27361092.64,68232.15
PROD00445,Allen Solly Fashion Item 445,Fashion,410,166,29447163.50,27342768.55,66689.68
PROD00637,Mamaearth Beauty Item 637,Beauty,418,170,29768555.52,27336507.30,65398.34
PROD00709,Harpercollins Books Item 709,Books,407,150,29908667.69,27325646.46,67139.18
PROD00791,Nivia Sports Item 791,Sports,406,157,29845798.92,27133212.81,66830.57
PROD00671,Maybelline Beauty Item 671,Beauty,402,153,28924780.38,26949692.62,67039.04
PROD00188,Prestige Home Item 188,Home,416,157,29092693.76,26777866.42,64369.87
PROD00835,Philips Electronics Item 835,Electronics,436,158,29142008.92,26739130.10,61328.28
PROD00062,Oxford Books Item 62,Books,416,166,28778160.32,26671682.05,64114.62
PROD00035,Nivia Sports Item 35,Sports,409,156,28330783.78,26644097.83,65144.49
PROD00874,Lego Toys Item 874,Toys,392,158,28729625.12,26519935.77,67652.9
PROD00261,Lego Toys Item 261,Toys,383,154,28533094.02,26491823.07,69169.25
PROD00538,Prestige Home Item 538,Home,395,157,28435315.30,26437644.44,66930.75
PROD00071,Boat Electronics Item 71,Electronics,389,156,28623047.90,26426651.92,67934.84
PROD00075,Penguin Books Item 75,Books,407,160,28429100.59,26295171.74,64607.3
PROD00394,Levi's Fashion Item 394,Fashion,411,164,28591338.30,26184378.76,63708.95
PROD00730,Nivea Beauty Item 730,Beauty,410,167,28557574.20,26137145.70,63749.14
PROD00706,Lakme Beauty Item 706,Beauty,391,149,28472444.05,26105808.60,66766.77
PROD00153,Bajaj Home Item 153,Home,382,163,28170689.32,26006265.88,68079.23
PROD00580,Milton Home Item 580,Home,415,167,28295808.05,25977597.32,62596.62
PROD00809,Ikea Furniture Item 809,Furniture,402,151,28256756.88,25968803.09,64599.01
PROD00658,Noise Electronics Item 658,Electronics,401,156,28451607.64,25939919.66,64688.08
PROD00266,Nivia Sports Item 266,Sports,451,168,27770104.01,25889002.72,57403.55
PROD00425,Pigeon Home Item 425,Home,437,173,28161739.58,25848223.74,59149.25
PROD00344,Nilkamal Furniture Item 344,Furniture,423,171,28132029.54,25840898.41,61089.59
PROD00444,Bajaj Home Item 444,Home,374,152,27924911.96,25789477.57,68955.82
PROD00602,Cello Home Item 602,Home,380,155,28292193.20,25708669.25,67654.39
PROD00942,Harpercollins Books Item 942,Books,392,146,28061762.96,25645730.97,65422.78
PROD00275,Penguin Books Item 275,Books,394,156,27470893.52,25532591.92,64803.53
PROD00030,Nike Sports Item 30,Sports,374,159,27538872.90,25517637.31,68228.98
PROD00483,Urban Ladder Furniture Item 483,Furniture,380,151,27913040.60,25514722.67,67144.01
PROD00818,Harpercollins Books Item 818,Books,388,164,27878168.60,25499902.01,65721.4
PROD00686,Bajaj Home Item 686,Home,423,164,28195678.35,25466096.56,60203.54
PROD00731,Cello Home Item 731,Home,385,155,27260475.55,25377024.53,65914.35
PROD00434,Lego Toys Item 434,Toys,383,152,27343622.41,25266078.34,65968.87
PROD00593,Milton Home Item 593,Home,412,165,27410421.80,25211600.20,61193.2
PROD00389,Hamleys Toys Item 389,Toys,407,153,27254543.36,25198733.79,61913.35
PROD00722,Lakme Beauty Item 722,Beauty,383,152,27454516.23,25182171.28,65749.79
PROD00133,Mamaearth Beauty Item 133,Beauty,375,152,27425587.50,25165718.97,67108.58
PROD00569,Allen Solly Fashion Item 569,Fashion,381,145,27032311.95,25148564.08,66006.73
PROD00963,Scholastic Books Item 963,Books,384,148,27269740.80,25132190.58,65448.41
PROD00747,Oxford Books Item 747,Books,374,152,27046786.14,25101442.54,67116.16
PROD00830,Mamaearth Beauty Item 830,Beauty,365,158,27041890.05,25041530.98,68606.93
PROD00562,Puma Fashion Item 562,Fashion,368,145,26752260.48,25032991.58,68024.43
PROD00478,Prestige Home Item 478,Home,382,147,27277443.44,25017414.43,65490.61
PROD00641,Roadster Fashion Item 641,Fashion,371,150,26706104.81,24956890.96,67269.25
PROD00476,Noise Electronics Item 476,Electronics,429,162,27218492.73,24950284.96,58159.17
PROD00750,Funskool Toys Item 750,Toys,402,161,26908862.94,24890698.29,61917.16
PROD00068,Oxford Books Item 68,Books,403,156,26845159.90,24880067.42,61737.14
PROD00836,Nilkamal Furniture Item 836,Furniture,421,166,26884571.64,24815545.23,58944.29
PROD00044,Cello Home Item 44,Home,388,159,26844148.60,24761651.35,63818.69
PROD00312,Roadster Fashion Item 312,Fashion,386,148,26934091.84,24697724.91,63983.74
PROD00048,Pigeon Home Item 48,Home,358,142,26551581.94,24686296.25,68956.13
PROD00083,Samsung Electronics Item 83,Electronics,410,162,26857812.60,24666608.08,60162.46
PROD00995,Nilkamal Furniture Item 995,Furniture,384,152,26634800.64,24526212.17,63870.34
PROD00746,Samsung Electronics Item 746,Electronics,370,143,26829047.80,24490569.94,66190.73
PROD00461,Nivia Sports Item 461,Sports,374,149,26503476.34,24476739.94,65445.83
PROD00655,Nivea Beauty Item 655,Beauty,407,164,26020425.75,24252698.91,59588.94
PROD00838,Hot Wheels Toys Item 838,Toys,388,147,26362919.96,24209042.24,62394.44
PROD00949,L'oreal Beauty Item 949,Beauty,383,155,25815563.48,24187767.45,63153.44
PROD00907,L'oreal Beauty Item 907,Beauty,394,165,26030216.76,24186960.35,61388.22
PROD00915,L'oreal Beauty Item 915,Beauty,398,156,26368570.62,24182231.81,60759.38
PROD00792,Hamleys Toys Item 792,Toys,381,153,26275684.05,24155008.63,63398.97
PROD00320,Pigeon Home Item 320,Home,416,163,26067441.92,24068520.30,57857.02
PROD00690,Nilkamal Furniture Item 690,Furniture,400,163,25803944.00,24055726.71,60139.32
PROD00758,Yonex Sports Item 758,Sports,368,143,25953726.24,24007196.84,65236.95
PROD00277,Lakme Beauty Item 277,Beauty,391,155,26277901.81,23999587.53,61380.02
PROD00140,Puma Fashion Item 140,Fashion,362,151,26028172.86,23993373.72,66280.04
PROD00299,Allen Solly Fashion Item 299,Fashion,416,159,26029714.88,23983629.20,57652.95
PROD00029,Ikea Furniture Item 29,Furniture,394,157,26080266.58,23981930.33,60867.84
PROD00974,Puma Fashion Item 974,Fashion,395,157,26083335.20,23973556.56,60692.55
PROD00626,Ikea Furniture Item 626,Furniture,419,166,25852656.15,23961524.97,57187.41
PROD00681,Harpercollins Books Item 681,Books,397,154,26062128.96,23961403.17,60356.18
PROD00158,Wakefit Furniture Item 158,Furniture,395,149,25686577.45,23934037.57,60592.5
PROD00581,Lakme Beauty Item 581,Beauty,440,168,25857409.60,23932795.58,54392.72
PROD00051,Bajaj Home Item 51,Home,428,165,25966567.40,23928070.43,55906.71
PROD00981,Pigeon Home Item 981,Home,351,147,25612729.74,23886971.80,68054.05
PROD00837,Decathlon Sports Item 837,Sports,381,156,25843443.36,23869574.07,62649.8
