order_item_id,order_id,product_id,quantity,unit_price,discount_percentage
ITEM000000001,ORD00000001,PROD00654,3,53899.85,10
ITEM000000002,ORD00000001,PROD00768,4,71270.66,20
ITEM000000003,ORD00000001,PROD00047,1,8163.81,15
ITEM000000004,ORD00000002,PROD00329,1,35129.85,15
ITEM000000005,ORD00000002,PROD00832,2,8411.79,20
ITEM000000006,ORD00000002,PROD00769,1,9620.92,15
ITEM000000007,ORD00000002,PROD00463,4,55805.61,0
ITEM000000008,ORD00000002,PROD00781,1,41079.54,0
ITEM000000009,ORD00000003,PROD00819,3,46780.05,10
ITEM000000010,ORD00000003,PROD00021,3,38412.47,25
ITEM000000011,ORD00000004,PROD00208,2,4654.16,15
ITEM000000012,ORD00000004,PROD00466,2,43859.18,5
ITEM000000013,ORD00000004,PROD00702,2,16218.79,0
ITEM000000014,ORD00000004,PROD00580,1,68182.67,0
ITEM000000015,ORD00000005,PROD00078,2,32285.93,0
ITEM000000016,ORD00000006,PROD00392,4,45740.58,5
ITEM000000017,ORD00000006,PROD00834,4,73769.46,25
ITEM000000018,ORD00000006,PROD00782,3,51388.74,5
ITEM000000019,ORD00000007,PROD00516,1,49687.89,0
ITEM000000020,ORD00000007,PROD00383,2,40751.86,20
ITEM000000021,ORD00000007,PROD00894,4,17712.92,10
ITEM000000022,ORD00000007,PROD00537,3,28073.23,10
ITEM000000023,ORD00000007,PROD00181,3,53747.19,20
ITEM000000024,ORD00000008,PROD00589,1,49262.43,5
ITEM000000025,ORD00000008,PROD00663,4,57668.97,0
ITEM000000026,ORD00000008,PROD00343,1,2238.78,0
ITEM000000027,ORD00000009,PROD00045,2,2902.63,5
ITEM000000028,ORD00000010,PROD00579,1,37366.9,15
ITEM000000029,ORD00000010,PROD00952,4,62628.19,0
ITEM000000030,ORD00000010,PROD00713,4,13805.92,5
ITEM000000031,ORD00000010,PROD00088,1,15518.99,0
ITEM000000032,ORD00000010,PROD00678,1,33245.95,10
ITEM000000033,ORD00000011,PROD00024,1,28997.98,0
ITEM000000034,ORD00000011,PROD00520,1,18311.02,0
ITEM000000035,ORD00000011,PROD00767,4,19686.29,10
ITEM000000036,ORD00000012,PROD00485,2,22776.79,10
ITEM000000037,ORD00000012,PROD00767,1,19686.29,10
ITEM000000038,ORD00000012,PROD00306,1,14551.2,20
ITEM000000039,ORD00000012,PROD00243,4,55564.28,25
ITEM000000040,ORD00000013,PROD00335,2,48626.31,15
ITEM000000041,ORD00000014,PROD00538,1,71988.14,20
ITEM000000042,ORD00000014,PROD00516,2,49687.89,20
ITEM000000043,ORD00000014,PROD00716,3,26404.93,5
ITEM000000044,ORD00000015,PROD00079,1,32902.67,0
ITEM000000045,ORD00000015,PROD00172,2,26116.19,5
ITEM000000046,ORD00000015,PROD00559,3,2004.25,10
ITEM000000047,ORD00000015,PROD00986,1,62670.9,20
ITEM000000048,ORD00000015,PROD00118,4,4488.0,0
ITEM000000049,ORD00000016,PROD00862,4,64889.12,20
ITEM000000050,ORD00000016,PROD00920,1,2258.71,0
ITEM000000051,ORD00000016,PROD00515,3,1559.02,0
ITEM000000052,ORD00000016,PROD00771,1,13917.43,5
ITEM000000053,ORD00000016,PROD00504,3,57504.9,10
ITEM000000054,ORD00000017,PROD00844,2,2795.14,0
ITEM000000055,ORD00000017,PROD00763,1,5382.27,0
ITEM000000056,ORD00000017,PROD00979,1,29875.67,5
ITEM000000057,ORD00000018,PROD00380,1,65105.46,0
ITEM000000058,ORD00000018,PROD00709,3,73485.67,15
ITEM000000059,ORD00000018,PROD00586,3,34886.06,10
ITEM000000060,ORD00000018,PROD00250,4,14882.83,15
ITEM000000061,ORD00000019,PROD00999,3,10550.15,15
ITEM000000062,ORD00000019,PROD00148,4,49034.41,5
ITEM000000063,ORD00000019,PROD00654,3,53899.85,5
ITEM000000064,ORD00000019,PROD00433,4,45774.96,5
ITEM000000065,ORD00000019,PROD00943,4,29125.64,5
ITEM000000066,ORD00000020,PROD00093,3,5975.61,15
ITEM000000067,ORD00000021,PROD00033,4,49229.41,20
ITEM000000068,ORD00000021,PROD00757,3,50173.11,0
ITEM000000069,ORD00000021,PROD00933,1,7758.77,5
ITEM000000070,ORD00000022,PROD00515,1,1559.02,0
ITEM000000071,ORD00000022,PROD00806,4,35320.41,0
ITEM000000072,ORD00000023,PROD00722,4,71682.81,0
ITEM000000073,ORD00000023,PROD00279,1,22761.62,15
ITEM000000074,ORD00000023,PROD00057,2,26472.74,5
ITEM000000075,ORD00000024,PROD00677,2,46045.16,0
ITEM000000076,ORD00000024,PROD00853,2,54260.72,20
ITEM000000077,ORD00000025,PROD00809,1,70290.44,5
ITEM000000078,ORD00000025,PROD00916,3,45420.6,25
ITEM000000079,ORD00000026,PROD00114,1,23086.45,20
ITEM000000080,ORD00000026,PROD00814,1,23784.47,20
ITEM000000081,ORD00000026,PROD00150,2,18446.3,10
ITEM000000082,ORD00000027,PROD00702,3,16218.79,0
ITEM000000083,ORD00000027,PROD00099,2,21004.03,5
ITEM000000084,ORD00000027,PROD00794,3,47818.28,0
ITEM000000085,ORD00000027,PROD00386,4,54919.63,0
ITEM000000086,ORD00000028,PROD00690,1,64509.86,20
ITEM000000087,ORD00000028,PROD00426,4,61977.77,5
ITEM000000088,ORD00000028,PROD00844,3,2795.14,10
ITEM000000089,ORD00000028,PROD00015,3,1946.76,10
ITEM000000090,ORD00000029,PROD00025,3,61030.67,10
ITEM000000091,ORD00000029,PROD00141,2,55005.12,0
ITEM000000092,ORD00000029,PROD00437,3,70291.85,0
ITEM000000093,ORD00000029,PROD00527,3,15079.57,5
ITEM000000094,ORD00000030,PROD00560,3,33566.25,0
ITEM000000095,ORD00000030,PROD00930,1,21289.88,0
ITEM000000096,ORD00000031,PROD00697,4,33690.27,10
ITEM000000097,ORD00000031,PROD00231,1,15279.74,15
ITEM000000098,ORD00000031,PROD00119,4,41403.45,20
ITEM000000099,ORD00000031,PROD00676,3,10064.12,10
ITEM000000100,ORD00000031,PROD00085,3,3374.59,5
