order_id,customer_id,order_date,order_status,shipping_city,shipping_state
ORD00000001,CUST004108,2026-04-25 01:40:06,Delivered,Bijapur,Maharashtra
ORD00000002,CUST000851,2026-06-12 22:52:30,Delivered,Gwalior,Rajasthan
ORD00000003,CUST004510,2024-09-12 20:31:54,Cancelled,Arrah,Maharashtra
ORD00000004,CUST002744,2026-01-29 21:57:07,Delivered,Siliguri,Maharashtra
ORD00000005,CUST003059,2026-05-01 23:43:27,Shipped,Sambhal,Haryana
ORD00000006,CUST004286,2025-09-02 04:38:07,Delivered,Jalgaon,Kerala
ORD00000007,CUST002877,2025-09-25 19:17:04,Cancelled,Bongaigaon,Tripura
ORD00000008,CUST000872,2024-12-16 18:59:11,Delivered,Guntur,Assam
ORD00000009,CUST003717,2024-08-29 20:57:38,Returned,Kharagpur,Maharashtra
ORD00000010,CUST001543,2024-01-01 22:13:29,Returned,Kanpur,Telangana
ORD00000011,CUST004133,2024-06-16 11:06:27,Delivered,Meerut,Manipur
ORD00000012,CUST000592,2025-04-21 05:14:00,Delivered,Jamnagar,Goa
ORD00000013,CUST003327,2025-04-15 11:20:59,Pending,Junagadh,Tripura
ORD00000014,CUST004440,2024-05-30 01:01:57,Shipped,Thrissur,Uttar Pradesh
ORD00000015,CUST001565,2024-02-06 12:21:10,Delivered,Jamnagar,Madhya Pradesh
ORD00000016,CUST002424,2024-07-07 02:01:23,Delivered,Tadipatri,Gujarat
ORD00000017,CUST000585,2024-04-14 02:45:20,Delivered,Patiala,Punjab
ORD00000018,CUST000975,2025-10-17 10:13:31,Shipped,Coimbatore,Bihar
ORD00000019,CUST003302,2024-01-17 10:01:13,Cancelled,Gangtok,Uttarakhand
ORD00000020,CUST002460,2025-06-17 02:17:22,Delivered,Ramagundam,Haryana
ORD00000021,CUST001708,2025-04-16 21:59:08,Delivered,Bhopal,Assam
ORD00000022,CUST004831,2026-01-13 05:31:00,Delivered,Kanpur,Rajasthan
ORD00000023,CUST004861,2024-03-06 01:12:31,Delivered,Miryalaguda,Himachal Pradesh
ORD00000024,CUST000259,2026-02-15 17:09:32,Delivered,Pondicherry,Tripura
ORD00000025,CUST000255,2025-02-01 08:15:02,Cancelled,Anand,Madhya Pradesh
ORD00000026,CUST003144,2026-04-17 08:01:17,Pending,Agartala,Tripura
ORD00000027,CUST003463,2026-07-01 01:35:45,Delivered,Bongaigaon,Tamil Nadu
ORD00000028,CUST002876,2026-01-31 16:01:27,Shipped,Anand,Nagaland
