payment_id,order_id,payment_method,payment_status,payment_amount,payment_date
PAY00000001,ORD00000001,Credit Card,Success,380534.95,2026-04-25 03:38:06
PAY00000002,ORD00000002,Net Banking,Success,315799.0,2026-06-13 00:22:30
PAY00000003,ORD00000003,Credit Card,Failed,212734.19,2024-09-12 21:47:54
PAY00000004,ORD00000004,Net Banking,Failed,191864.76,2026-01-29 22:24:07
PAY00000005,ORD00000005,Wallet,Success,64571.86,2026-05-02 01:06:27
PAY00000006,ORD00000006,Debit Card,Success,541580.49,2025-09-02 04:55:07
PAY00000007,ORD00000007,Wallet,Refunded,383448.35,2025-09-25 19:52:04
PAY00000008,ORD00000008,UPI,Success,279713.97,2024-12-16 19:15:11
PAY00000009,ORD00000009,Wallet,Refunded,5515.0,2024-08-29 22:52:38
PAY00000010,ORD00000010,Credit Card,Refunded,380177.47,2024-01-01 22:50:29
PAY00000011,ORD00000011,Wallet,Success,118179.64,2024-06-16 12:23:27
PAY00000012,ORD00000012,Credit Card,Success,237049.68,2025-04-21 06:36:00
PAY00000013,ORD00000013,Net Banking,Success,82664.73,2025-04-15 11:54:59
PAY00000014,ORD00000014,UPI,Success,212345.19,2024-05-30 02:48:57
PAY00000015,ORD00000015,UPI,Success,156023.63,2024-02-06 14:09:10
PAY00000016,ORD00000016,Debit Card,Success,383065.74,2024-07-07 03:19:23
PAY00000017,ORD00000017,Debit Card,Failed,39354.44,2024-04-14 03:54:20
PAY00000018,ORD00000018,Net Banking,Failed,397287.9,2025-10-17 10:15:31
PAY00000019,ORD00000019,Debit Card,Refunded,651470.49,2024-01-17 11:35:13
PAY00000020,ORD00000020,Net Banking,Success,15237.81,2025-06-17 03:03:22
PAY00000021,ORD00000021,Credit Card,Success,315424.27,2025-04-16 22:45:08
PAY00000022,ORD00000022,Credit Card,Success,142840.66,2026-01-13 06:22:00
PAY00000023,ORD00000023,Wallet,Success,356376.82,2024-03-06 02:41:31
PAY00000024,ORD00000024,Wallet,Success,178907.47,2026-02-15 17:46:32
PAY00000025,ORD00000025,Credit Card,Failed,168972.27,2025-02-01 09:57:02
PAY00000026,ORD00000026,Credit Card,Success,70700.08,2026-04-17 09:13:17
PAY00000027,ORD00000027,Net Banking,Success,451697.39,2026-07-01 01:45:45
PAY00000028,ORD00000028,Debit Card,Success,299926.54,2026-01-31 16:47:27
PAY00000029,ORD00000029,Debit Card,Success,528645.37,2024-03-01 03:01:50
PAY00000030,ORD00000030,Debit Card,Success,121988.63,2026-01-07 17:53:12
PAY00000031,ORD00000031,UPI,Success,303554.5,2024-05-08 22:36:51
PAY00000032,ORD00000032,Debit Card,Failed,313763.87,2025-12-07 08:11:48
PAY00000033,ORD00000033,Wallet,Success,529961.91,2025-01-09 23:33:52
PAY00000034,ORD00000034,UPI,Success,132451.74,2024-02-23 10:17:05
PAY00000035,ORD00000035,Net Banking,Success,191034.82,2025-12-01 23:00:03
PAY00000036,ORD00000036,Credit Card,Success,492645.19,2024-05-27 12:44:58
PAY00000037,ORD00000037,Net Banking,Refunded,202416.5,2026-07-10 22:00:20
PAY00000038,ORD00000038,Credit Card,Success,21807.81,2026-02-25 13:07:42
PAY00000039,ORD00000039,Net Banking,Success,107943.38,2024-10-08 14:29:58
PAY00000040,ORD00000040,UPI,Success,213732.06,2025-08-26 02:16:43
PAY00000041,ORD00000041,UPI,Success,646641.93,2024-03-16 17:00:20
PAY00000042,ORD00000042,Wallet,Success,569860.22,2026-03-13 17:28:35
PAY00000043,ORD00000043,Wallet,Refunded,242834.75,2025-03-31 18:55:08
PAY00000044,ORD00000044,Credit Card,Success,21872.33,2025-03-27 00:30:15
PAY00000045,ORD00000045,Net Banking,Refunded,320839.05,2024-06-19 09:10:51
PAY00000046,ORD00000046,Credit Card,Success,136889.88,2024-11-05 09:39:47
PAY00000047,ORD00000047,Credit Card,Success,112175.92,2024-01-09 21:51:54
PAY00000048,ORD00000048,Credit Card,Success,239277.4,2025-08-08 06:03:30
PAY00000049,ORD00000049,UPI,Success,199984.41,2024-12-13 02:48:00
PAY00000050,ORD00000050,Debit Card,Success,293914.7,2026-02-05 09:44:36
PAY00000051,ORD00000051,Wallet,Success,82470.78,2024-06-29 08:49:54
PAY00000052,ORD00000052,Credit Card,Failed,6786.65,2024-07-24 02:27:46
PAY00000053,ORD00000053,Wallet,Success,755543.11,2026-05-24 05:38:52
PAY00000054,ORD00000054,Wallet,Success,421521.77,2025-07-23 15:05:31
PAY00000055,ORD00000055,UPI,Failed,35320.41,2024-02-01 22:23:50
PAY00000056,ORD00000056,Wallet,Success,531516.67,2026-04-24 07:29:32
PAY00000057,ORD00000057,Debit Card,Success,422248.2,2024-02-22 02:31:41
PAY00000058,ORD00000058,UPI,Success,84143.56,2025-10-18 00:26:58
PAY00000059,ORD00000059,Debit Card,Refunded,508038.93,2025-02-12 05:06:00
PAY00000060,ORD00000060,Credit Card,Success,378596.48,2026-01-07 08:24:18
PAY00000061,ORD00000061,Credit Card,Success,111062.24,2024-08-01 15:44:18
PAY00000062,ORD00000062,Wallet,Success,291542.65,2024-05-14 05:32:15
PAY00000063,ORD00000063,Credit Card,Success,215863.13,2025-11-24 00:45:32
PAY00000064,ORD00000064,Net Banking,Success,250163.31,2025-08-02 23:16:41
PAY00000065,ORD00000065,Credit Card,Success,87288.19,2024-04-13 19:18:18
PAY00000066,ORD00000066,Wallet,Success,409691.1,2026-06-23 07:43:32
PAY00000067,ORD00000067,UPI,Success,224593.33,2024-03-02 19:15:08
PAY00000068,ORD00000068,Wallet,Success,303293.9,2025-04-11 14:09:09
PAY00000069,ORD00000069,Wallet,Success,128472.42,2024-01-18 09:54:42
PAY00000070,ORD00000070,Wallet,Success,166992.9,2024-01-19 23:33:35
PAY00000071,ORD00000071,Net Banking,Success,129557.72,2026-06-28 16:18:17
PAY00000072,ORD00000072,UPI,Success,316828.65,2024-07-31 22:33:02
PAY00000073,ORD00000073,Net Banking,Success,206702.27,2026-01-16 06:24:22
PAY00000074,ORD00000074,UPI,Success,204018.17,2026-01-07 13:47:08
PAY00000075,ORD00000075,Debit Card,Success,143055.34,2024-06-02 22:28:25
PAY00000076,ORD00000076,Wallet,Refunded,110181.71,2026-04-21 01:45:37
PAY00000077,ORD00000077,Credit Card,Pending,160346.79,2024-08-14 23:44:53
PAY00000078,ORD00000078,Debit Card,Refunded,68609.16,2024-08-13 22:10:08
PAY00000079,ORD00000079,Credit Card,Success,432529.92,2026-01-12 03:20:51
PAY00000080,ORD00000080,Debit Card,Success,210666.52,2026-05-29 13:28:41
PAY00000081,ORD00000081,UPI,Success,535455.34,2025-07-15 23:06:33
PAY00000082,ORD00000082,Credit Card,Success,331973.91,2025-09-23 07:57:19
PAY00000083,ORD00000083,Credit Card,Refunded,163358.73,2024-03-07 17:04:35
PAY00000084,ORD00000084,UPI,Refunded,488792.72,2024-02-13 00:41:05
PAY00000085,ORD00000085,UPI,Success,22354.22,2025-08-30 02:45:37
PAY00000086,ORD00000086,Wallet,Success,125782.09,2024-07-16 20:41:13
PAY00000087,ORD00000087,UPI,Pending,264304.03,2025-09-23 13:22:18
PAY00000088,ORD00000088,Wallet,Success,270066.51,2025-01-09 22:01:47
PAY00000089,ORD00000089,Debit Card,Success,81227.53,2026-02-11 07:23:46
PAY00000090,ORD00000090,Debit Card,Success,55783.44,2024-02-18 01:56:28
PAY00000091,ORD00000091,Credit Card,Refunded,335952.96,2024-05-11 19:27:49
PAY00000092,ORD00000092,Wallet,Success,124551.04,2024-03-03 02:23:23
PAY00000093,ORD00000093,UPI,Success,190521.76,2025-03-12 08:06:51
PAY00000094,ORD00000094,Credit Card,Refunded,231095.66,2025-04-16 12:25:02
PAY00000095,ORD00000095,Debit Card,Success,262981.57,2025-05-23 04:21:56
PAY00000096,ORD00000096,Wallet,Success,313952.27,2026-03-05 13:03:49
PAY00000097,ORD00000097,Wallet,Success,199756.17,2026-05-20 05:20:37
PAY00000098,ORD00000098,Debit Card,Success,46151.79,2026-06-10 17:38:40
PAY00000099,ORD00000099,UPI,Failed,264556.37,2024-05-21 09:46:01
PAY00000100,ORD00000100,Debit Card,Success,331984.29,2026-04-07 14:41:13
