product_id,product_name,category,brand,price,stock_quantity
PROD00001,LG Electronics Item 1,Electronics,LG,6723.33,287
PROD00002,Yonex Sports Item 2,Sports,Yonex,43566.15,764
PROD00003,Wakefit Furniture Item 3,Furniture,Wakefit,40790.89,1158
PROD00004,Nike Sports Item 4,Sports,Nike,56674.6,804
PROD00005,IKEA Furniture Item 5,Furniture,IKEA,50288.93,947
PROD00006,Lego Toys Item 6,Toys,Lego,6440.97,553
PROD00007,Levi's Fashion Item 7,Fashion,Levi's,44616.04,595
PROD00008,Hot Wheels Toys Item 8,Toys,Hot Wheels,64837.13,248
PROD00009,Noise Electronics Item 9,Electronics,Noise,15459.33,295
PROD00010,Funskool Toys Item 10,Toys,Funskool,16843.41,1383
PROD00011,Nilkamal Furniture Item 11,Furniture,Nilkamal,47155.14,1472
PROD00012,LG Electronics Item 12,Electronics,LG,46812.43,411
PROD00013,Puma Fashion Item 13,Fashion,Puma,102.67,1236
PROD00014,Roadster Fashion Item 14,Fashion,Roadster,7355.09,418
PROD00015,Allen Solly Fashion Item 15,Fashion,Allen Solly,1946.76,1035
PROD00016,Hamleys Toys Item 16,Toys,Hamleys,4268.42,249
PROD00017,Cosco Sports Item 17,Sports,Cosco,36330.59,376
PROD00018,Pearson Books Item 18,Books,Pearson,19594.34,1254
PROD00019,Mattel Toys Item 19,Toys,Mattel,9327.42,299
PROD00020,Sony Electronics Item 20,Electronics,Sony,10712.3,1346
PROD00021,HarperCollins Books Item 21,Books,HarperCollins,38412.47,1432
PROD00022,Scholastic Books Item 22,Books,Scholastic,36086.94,592
PROD00023,Roadster Fashion Item 23,Fashion,Roadster,37023.01,1367
PROD00024,Cosco Sports Item 24,Sports,Cosco,28997.98,219
PROD00025,Hamleys Toys Item 25,Toys,Hamleys,61030.67,303
PROD00026,Boat Electronics Item 26,Electronics,Boat,34335.46,1155
PROD00027,Prestige Home Item 27,Home,Prestige,43582.3,69
PROD00028,Lego Toys Item 28,Toys,Lego,68117.31,726
PROD00029,IKEA Furniture Item 29,Furniture,IKEA,66193.57,938
PROD00030,Nike Sports Item 30,Sports,Nike,73633.35,732
PROD00031,Oxford Books Item 31,Books,Oxford,67701.03,1075
PROD00032,Bajaj Home Item 32,Home,Bajaj,4801.16,1343
PROD00033,Nilkamal Furniture Item 33,Furniture,Nilkamal,49229.41,1153
PROD00034,Nivea Beauty Item 34,Beauty,Nivea,53667.16,286
PROD00035,Nivia Sports Item 35,Sports,Nivia,69268.42,139
PROD00036,Hamleys Toys Item 36,Toys,Hamleys,72195.37,1240
PROD00037,Wakefit Furniture Item 37,Furniture,Wakefit,53166.66,1038
PROD00038,Yonex Sports Item 38,Sports,Yonex,52362.88,1205
PROD00039,L'Oreal Beauty Item 39,Beauty,L'Oreal,46348.88,826
PROD00040,Puma Fashion Item 40,Fashion,Puma,2311.19,1500
PROD00041,HomeTown Furniture Item 41,Furniture,HomeTown,7330.88,217
PROD00042,Hamleys Toys Item 42,Toys,Hamleys,24342.09,474
PROD00043,Penguin Books Item 43,Books,Penguin,67494.59,356
PROD00044,Cello Home Item 44,Home,Cello,69185.95,126
PROD00045,Nike Sports Item 45,Sports,Nike,2902.63,149
PROD00046,Hot Wheels Toys Item 46,Toys,Hot Wheels,45529.34,60
PROD00047,Nilkamal Furniture Item 47,Furniture,Nilkamal,8163.81,920
PROD00048,Pigeon Home Item 48,Home,Pigeon,74166.43,1175
PROD00049,HarperCollins Books Item 49,Books,HarperCollins,19011.87,896
PROD00050,Yonex Sports Item 50,Sports,Yonex,15169.34,331
PROD00051,Bajaj Home Item 51,Home,Bajaj,60669.55,393
PROD00052,Roadster Fashion Item 52,Fashion,Roadster,1915.8,1369
PROD00053,Adidas Fashion Item 53,Fashion,Adidas,2589.62,287
PROD00054,Boat Electronics Item 54,Electronics,Boat,58101.49,1163
PROD00055,Levi's Fashion Item 55,Fashion,Levi's,13979.3,1494
PROD00056,Funskool Toys Item 56,Toys,Funskool,62446.98,1168
PROD00057,Mattel Toys Item 57,Toys,Mattel,26472.74,1266
PROD00058,Urban Ladder Furniture Item 58,Furniture,Urban Ladder,32971.97,1280
PROD00059,Prestige Home Item 59,Home,Prestige,42729.52,260
PROD00060,Nike Sports Item 60,Sports,Nike,8932.77,472
PROD00061,Philips Electronics Item 61,Electronics,Philips,40586.3,46
PROD00062,Oxford Books Item 62,Books,Oxford,69178.27,514
PROD00063,Milton Home Item 63,Home,Milton,5189.67,323
PROD00064,Nike Sports Item 64,Sports,Nike,40128.34,494
PROD00065,Cosco Sports Item 65,Sports,Cosco,46436.5,1118
PROD00066,Roadster Fashion Item 66,Fashion,Roadster,35376.31,538
PROD00067,Samsung Electronics Item 67,Electronics,Samsung,25419.59,534
PROD00068,Oxford Books Item 68,Books,Oxford,66613.3,121
PROD00069,HomeTown Furniture Item 69,Furniture,HomeTown,41076.84,675
PROD00070,Sony Electronics Item 70,Electronics,Sony,37067.28,1154
PROD00071,Boat Electronics Item 71,Electronics,Boat,73581.1,852
PROD00072,Roadster Fashion Item 72,Fashion,Roadster,35959.98,265
PROD00073,Nike Sports Item 73,Sports,Nike,7894.19,1017
PROD00074,Oxford Books Item 74,Books,Oxford,32420.52,621
PROD00075,Penguin Books Item 75,Books,Penguin,69850.37,53
PROD00076,Pearson Books Item 76,Books,Pearson,45649.6,776
PROD00077,Philips Electronics Item 77,Electronics,Philips,36214.78,792
PROD00078,Pigeon Home Item 78,Home,Pigeon,32285.93,874
PROD00079,Urban Ladder Furniture Item 79,Furniture,Urban Ladder,32902.67,1260
PROD00080,Mamaearth Beauty Item 80,Beauty,Mamaearth,14604.06,894
PROD00081,Sony Electronics Item 81,Electronics,Sony,17479.3,1205
PROD00082,Sony Electronics Item 82,Electronics,Sony,31038.6,1098
PROD00083,Samsung Electronics Item 83,Electronics,Samsung,65506.86,511
PROD00084,Samsung Electronics Item 84,Electronics,Samsung,4343.43,898
PROD00085,Nilkamal Furniture Item 85,Furniture,Nilkamal,3374.59,716
PROD00086,Oxford Books Item 86,Books,Oxford,9815.75,814
PROD00087,Lego Toys Item 87,Toys,Lego,49278.61,156
PROD00088,Decathlon Sports Item 88,Sports,Decathlon,15518.99,1444
PROD00089,Maybelline Beauty Item 89,Beauty,Maybelline,33321.28,619
PROD00090,L'Oreal Beauty Item 90,Beauty,L'Oreal,22021.99,1338
PROD00091,Pearson Books Item 91,Books,Pearson,66984.09,653
PROD00092,Puma Fashion Item 92,Fashion,Puma,26063.0,841
PROD00093,Hot Wheels Toys Item 93,Toys,Hot Wheels,5975.61,280
PROD00094,Oxford Books Item 94,Books,Oxford,55668.96,431
PROD00095,Levi's Fashion Item 95,Fashion,Levi's,54395.82,290
PROD00096,Sony Electronics Item 96,Electronics,Sony,52405.81,1331
PROD00097,Lego Toys Item 97,Toys,Lego,1694.59,69
PROD00098,Nivia Sports Item 98,Sports,Nivia,44159.19,615
PROD00099,Puma Fashion Item 99,Fashion,Puma,21004.03,1248
PROD00100,Cello Home Item 100,Home,Cello,1511.75,783
